Company ,Model,Year,Car Vpn,price
Toyota,Camry,2010,WBAVC73527K373534,3921
Mitsubishi,Mirage,1984,2V4RW3DG1BR283425,5886
Honda,Pilot,2007,4T1BF1FK3CU327474,8811
Toyota,Tacoma,1995,WBAPH53509A062367,5315
Lotus,Esprit,1989,5BZAF0AA9FN200817,7098
Suzuki,X-90,1996,KNADH4A39A6928332,4699
GMC,Acadia,2010,2G61R5S35D9446819,5465
Lamborghini,Reventón,2008,WP0AA2A92BS558997,3813
Ford,Expedition EL,2012,JN8AZ2KR4AT500362,5375
Ford,F150,1997,SCFEDEAN9CG411640,7927
Toyota,Camry,2010,1GTN1UEH7FZ060600,8058
Kia,Sedona,2003,1FTEW1C83AF559646,9966
Acura,TL,1998,1GYUCCEF4AR479487,8126
Suzuki,SJ,1985,3N1CN7AP2EK009983,3715
Infiniti,G35,2003,WBA3B1C59EP785067,2097
Acura,MDX,2003,5N1CR2MM0EC981668,5926
Chevrolet,Express 2500,2010,WA1VGBFP5EA240562,2391
Volkswagen,New Beetle,2001,WVGAV3AX3DW059187,2477
Mercury,Tracer,1996,1FTEW1CW0AK681810,8894
Chevrolet,Astro,1997,WAULD54B14N541316,4922
Infiniti,I,1996,WAUXU54B93N968369,9184
Mercedes-Benz,GL-Class,2008,1G4HJ5EM0AU393044,6549
Land Rover,Defender,1997,YV1672MK5A2041544,8999
Land Rover,LR2,2012,WAUAH74F67N224632,3921
Toyota,Land Cruiser,1998,SCFHDDAJ2BA873754,9325
Pontiac,G3,2009,WBACN33451L282759,4592
Ford,Escape,2012,KMHGH4JH0CU020115,8269
Mercedes-Benz,CLK-Class,2006,1G6AE5SX9D0740703,6042
Mitsubishi,Lancer,2003,JN8AZ1MU0CW177733,7904
Ford,Expedition,2000,WVGEG9BP3CD273104,4108
Honda,CR-V,2007,1C3CDFBB1ED654318,7365
Ford,Econoline E350,1996,WAUVT68E35A116873,8427
Honda,Element,2009,5TDBKRFH1ES484091,3981
Ford,LTD Crown Victoria,1990,SCFEBBBK1BG532282,7444
Pontiac,G6,2009,WA1WMAFE3CD065987,3001
Mercury,Mountaineer,2005,JTMHY7AJ6F4151650,8419
Chevrolet,Tracker,2001,ZFBCFADH8FZ738900,3891
Mazda,Miata MX-5,2006,SCBGR3ZA8DC300684,9423
Audi,riolet,1994,SCFAB01A48G954678,9924
Ford,Bronco,1985,5UXFG2C50BL733836,8176
Saab,9-3,2008,WAUKFAFL2DA984912,7204
Nissan,Quest,2007,3FA6P0D95DR571770,6470
Mazda,B-Series Plus,1996,WBAAV33451E365877,7709
Mitsubishi,Mighty Max,1993,2G61S5S32E9391459,3714
Pontiac,Firebird,1999,2G4WF551411886879,9388
Cadillac,Seville,2001,WBAVA33528F888767,6646
Mercury,Mountaineer,1999,2HNYD28427H919539,9956
Chevrolet,Silverado 3500,2001,WA1MYAFE8AD513780,2559
Saab,9000,1988,JN1AZ4EH2FM202066,8463
Volvo,XC90,2011,YV4952CT3D1315625,7527
Isuzu,Hombre Space,2000,WAUJFAFH6DN970415,6418
Pontiac,Sunbird,1987,WA1DGAFE4BD114742,9471
Chrysler,300M,2003,1FTEX1CM2BK043765,5015
Land Rover,Discovery,2002,JN8AE2KP9C9087719,3699
Chevrolet,Express 3500,2003,1FTEW1C89FF952879,9779
Suzuki,Esteem,2001,WAULD54BX2N329320,6902
BMW,X5,2010,1C3BCBFG8DN464585,4228
Audi,A3,2007,5FPYK1F28AB008837,6707
Lamborghini,Gallardo,2012,55SWF4JB7FU483107,5952
Volkswagen,GTI,1995,JM3KE2BE2F0064216,6717
Pontiac,Sunfire,1995,SCFFBCCD2AG567857,3215
Mazda,Mazda6,2012,WAUJT64B62N286479,9679
Jeep,Patriot,2011,1G6KD57Y19U649868,4932
Mercedes-Benz,SL-Class,2007,WA1VFBFL6EA108877,7886
Ford,Aerostar,1986,3N1CE2CP1EL722965,7257
Suzuki,Aerio,2005,1GYS3HKJ0FR136521,9722
BMW,Z3,1999,WAUMR44E05N806402,4741
Buick,Regal,2002,WBAGL634X2D281594,5649
Mercedes-Benz,W201,1988,JTDKN3DU6F0692119,7830
Infiniti,M,2011,WBAPH7G54BN234730,4386
MINI,MINI,2002,WBSBR93491E921602,8602
Kia,Optima,2001,1N4AB7AP2DN161404,5770
Maserati,Quattroporte,2007,3D7TP2CT5BG077848,5382
Mazda,MX-5,2009,JTEBU5JR0E5073950,4650
Chevrolet,Silverado 3500,2010,4USDU53597L280711,8017
Jeep,Liberty,2004,SCBCR63W44C536964,8975
Lotus,Esprit,1986,2HNYD2H39CH204663,5814
Ford,Tempo,1991,JN1CV6FEXBM932158,5030
Chrysler,Pacifica,2006,WBAPN73559A365892,3162
Plymouth,Neon,2000,1G4HP54K534165638,5896
Nissan,Leaf,2011,3D73M3CL2BG700437,5058
Chevrolet,S10,2003,WBXPC9C40AW792192,3046
Lexus,LS,1996,WDDNG7BBXBA435183,7617
Toyota,Land Cruiser,2007,JN1AZ4EH4AM898759,9307
Audi,S4,2011,3VWML7AJ4DM948586,3949
Saturn,S-Series,1993,JM1CR2W36A0053738,5258
Ford,Fiesta,2001,WAUDFAFL3DN470522,9553
Mitsubishi,Galant,1999,5UXFH0C56AL895387,8472
Oldsmobile,Aurora,1996,JM3KE2BEXD0799863,3528
Volkswagen,Jetta,1984,1G6DM577180522379,6492
Volkswagen,Golf III,1994,WA1WKBFP6BA641164,4447
Land Rover,Range Rover Evoque,2012,WAUEFAFL5AN616323,2941
Acura,RSX,2005,1N4AL2AP0AN907277,7186
Toyota,4Runner,1995,1GYS4DEF3BR690997,7751
Toyota,4Runner,1999,19UUA56763A120286,3847
Ford,GT500,2007,1G6DE8EG0A0245764,2808
Nissan,Pathfinder,1992,1FTWW3CYXAE504570,8953
Ford,Aerostar,1992,WAUEKBFB9BN189366,8753
Chevrolet,Corvette,1996,1G6DP8E32D0853717,5597
Hyundai,Accent,2005,WAUEV74F67N184899,9219
Ford,Crown Victoria,2008,2G61U5S31D9060168,8277
Toyota,Corolla,1992,1G6DJ8EV8A0556112,4050
Volvo,C70,2003,3VW4A7AT3DM748287,5890
Toyota,TundraMax,2012,2HNYD18733H064753,9512
Volvo,V70,2002,WBAYA8C53ED536198,2052
Mercury,Sable,2002,1FTWF3A54AE128702,4744
Mercedes-Benz,E-Class,1985,5XYKT3A63EG008289,4862
Pontiac,Grand Prix,1990,WAUDG78E76A030344,9849
Mitsubishi,Lancer,2003,3MZBM1K79EM287983,5708
Bentley,Continental Flying Spur,2007,WAUMFAFL5BN794374,2224
Mercedes-Benz,E-Class,1998,5TFCY5F16CX822378,3978
Toyota,4Runner,1997,1G6DK8EV2A0165535,8865
Land Rover,Freelander,2008,WVWED7AJ5DW111155,7552
Chevrolet,3500,1994,KMHHT6KD0AU209242,2887
Mitsubishi,Lancer,2005,1G6DF5E54C0454163,6890
Pontiac,Fiero,1988,1C3BCBEB9EN136762,9067
Chevrolet,Silverado 3500,2010,2C3CDXEJ0DH695419,5073
Cadillac,SRX,2012,WAULC68E54A762177,3347
Dodge,Daytona,1992,1FTSW2A57AE578322,7758
Mitsubishi,Precis,1992,3D73M4CL3AG075809,2797
Mitsubishi,Eclipse,2003,1FTEW1C81AK231925,3161
Audi,R8,2010,JN8AZ1FY6DW757845,2332
Ford,Explorer,2013,1G6AV5S83F0638728,7956
Mitsubishi,Lancer Evolution,2005,1D7RB1CP7AS275604,4404
Mercedes-Benz,E-Class,1985,WAUDT48H75K047173,7101
Audi,Cabriolet,1996,5N1AN0NW0EN921207,2708
Cadillac,Fleetwood,1992,WBAKG1C51DJ893682,3959
Dodge,Dakota,1996,1GD02ZCG9CZ468585,2313
Ford,Explorer Sport Trac,2010,WVGAV3AX5DW942417,5891
Cadillac,Escalade,2011,4A31K5DF3CE457125,4736
Chevrolet,Aveo,2009,5LMCJ1A97FU265845,8705
Lexus,IS F,2010,3N1AB7APXFY107156,9205
Mercedes-Benz,GL-Class,2007,1FMJU1K58AE080944,6767
Oldsmobile,Silhouette,1993,1GD11ZCG2CF881733,4047
Chrysler,Voyager,2003,KNADH4A39A6014095,8231
Oldsmobile,88,1996,4JGDA2EB9CA050524,2770
Chevrolet,Impala,2006,3D4PG9FG8BT952854,6073
Porsche,924,1988,JHMZF1D47ES533644,3547
Toyota,Highlander,2011,WBAYA6C55DC310110,5778
